from;to;type;label;color;weight
n001;n906;1;+;0;1
n002;n904;1;+;0;1
n003;n904;1;+;0;1
n901;n004;1;0;2;0
n005;n901;1;+;0;1
n006;n902;1;+;0;1
n006;n902;1;++;0;2
n006;n902;1;+;0;1
n006;n902;1;+;0;1
n007;n902;1;+;0;1
n902;n007;1;-;1;1
n007;n902;1;++;0;2
n007;n902;1;+;0;1
n008;n903;1;++;0;2
n009;n900;1;++;0;2
n009;n900;1;+;0;1
n009;n904;1;++;0;2
n901;n009;1;-;1;1
n009;n906;1;++;0;2
n009;n906;1;++;0;2
n009;n906;1;++;0;2
n010;n902;1;++;0;2
n906;n010;1;-;1;1
n010;n906;1;++;0;2
n010;n906;1;+;0;1
n011;n904;1;+;0;1
n012;n905;1;++;0;2
n013;n906;1;+;0;1
n013;n906;1;+;0;1
n014;n906;1;++;0;2
n015;n905;1;+;0;1
n016;n904;1;++;0;2
n016;n904;1;+;0;1
n017;n903;1;++;0;2
n018;n900;1;++;0;2
n018;n903;1;++;0;2
n018;n904;1;+;0;1
n018;n905;1;++;0;2
n019;n903;1;++;0;2
n019;n901;1;+;0;1
n019;n906;1;++;0;2
n020;n902;1;+;0;1
n902;n020;1;-;1;1
n021;n906;1;++;0;2
n021;n906;1;++;0;2
n022;n903;1;+;0;1
n022;n904;1;+;0;1
n022;n906;1;+;0;1
n022;n906;1;+;0;1
n023;n906;1;+;0;1
n023;n906;1;+;0;1
n900;n024;1;++;0;0
n025;n904;1;++;0;2
n026;n902;1;+;0;1
n902;n026;1;-;1;1
n902;n026;1;0;2;0
n026;n903;1;+;0;1
n901;n026;1;0;2;0
n027;n902;1;+;0;1
n902;n027;1;0;2;0
n027;n902;1;+;0;1
n902;n027;1;-;1;1
n028;n906;1;+;0;1
n028;n906;1;++;0;2
n029;n903;1;+;0;1
n030;n906;1;++;0;2
n030;n906;1;+;0;1
n030;n906;1;++;0;2
n031;n906;1;+;0;1
n031;n906;1;+;0;1
n032;n905;1;++;0;2
n902;n033;0;?;2;0
n033;n904;1;+;0;1
n034;n900;1;+;0;1
n904;n034;1;0;2;0
n904;n034;1;-;1;1
n034;n905;1;+;0;1
n906;n034;1;0;2;0
n901;n035;1;0;2;0
n902;n036;1;0;2;0
n900;n037;1;--;1;2
n037;n900;1;+;0;1
n906;n037;1;-;1;1
n902;n038;1;-;1;1
n038;n905;1;+;0;1
n903;n039;1;-;1;1
n040;n904;1;+;0;1
n040;n904;1;+;0;1
n040;n901;1;+;0;1
n040;n905;1;++;0;2
n902;n041;1;-;1;1
n041;n903;1;+;0;1
n041;n905;1;+;0;1
n900;n042;1;--;1;2
n043;n904;1;++;0;2
n044;n906;1;+;0;1
n906;n045;1;-;1;1
n906;n045;1;-;1;1
n046;n904;1;+;0;1
n902;n047;1;-;1;1
n047;n902;1;+;0;1
n047;n904;1;+;0;1
n047;n904;1;++;0;2
n901;n047;1;-;1;1
n906;n047;1;0;2;0
n906;n047;1;-;1;1
n048;n900;1;+;0;1
n048;n906;1;++;0;2
n900;n049;1;-;1;0
n902;n049;1;-;1;1
n049;n901;1;+;0;1
n905;n050;1;-;1;0
n051;n904;1;+;0;1
n902;n052;0;?;2;0
n901;n052;0;?;2;0
n053;n906;1;+;0;1
n902;n054;1;--;1;2
n055;n906;1;+;0;1
n056;n906;1;++;0;2
n902;n057;1;--;1;2
n057;n902;1;+;0;1
n057;n902;1;+;0;1
n058;n900;1;++;0;2
n058;n900;1;+;0;1
n058;n900;1;++;0;2
n058;n900;1;+;0;1
n058;n904;1;+++;0;3
n901;n058;1;--;1;2
n058;n905;1;+;0;1
n058;n906;1;++;0;2
n059;n906;1;+;0;1
n060;n906;1;+;0;1
n060;n906;1;+;0;1
n060;n906;1;++;0;2
n061;n900;1;+++;0;3
n061;n902;1;+;0;1
n902;n061;1;-;1;1
n061;n903;1;++;0;2
n061;n904;1;++;0;2
n904;n061;1;--;1;2
n904;n061;1;--;1;2
n901;n061;1;-;1;1
n061;n901;1;++;0;2
n061;n905;1;++;0;2
n902;n062;1;0;2;0
n062;n902;1;++;0;2
n063;n902;1;++;0;2
n063;n902;1;+;0;1
n905;n064;1;0;2;0
n900;n065;1;0;2;0
n066;n906;1;++;0;2
n066;n906;1;+;0;1
n067;n904;1;+;0;1
n904;n068;1;-;1;1
n069;n901;1;++;0;2
n070;n902;1;+;0;1
n071;n900;1;+;0;1
n904;n071;1;--;1;2
n905;n071;1;--;1;2
n072;n902;1;+;0;1
n902;n072;1;-;1;1
n072;n902;1;++;0;2
n073;n906;1;+;0;1
n074;n904;1;++;0;2
n075;n903;1;+;0;1
n075;n904;1;++;0;2
n901;n075;1;-;1;1
n075;n905;1;+;0;1
n076;n902;1;+;0;1
